"","id","species_name","comment","class","broad_taxa"
"77","Anastasiadi_et_al_2021","Apostichopus japonicus",NA,"Holothuroidea","echinoderm"
"78","Anastasiadi_et_al_2021","Strongylocentrotus purpuratus",NA,"Echinoidea","echinoderm"
"79","Moore_et_al_2019","Strongylocentrotus purpuratus","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Echinoidea","echinoderm"
"80","Rowinski_and_Rogell_2017","Mesocentrotus franciscanus",NA,"Echinoidea","echinoderm"
"81","Rutkowska_et_al_2020","Evechinus chloroticus",NA,"Echinoidea","echinoderm"
"82","Rutkowska_et_al_2020","Strongylocentrotus intermedius",NA,"Echinoidea","echinoderm"
"83","Rutkowska_et_al_2020","Strongylocentrotus intermedius",NA,"Echinoidea","echinoderm"
"84","Yin_et_al_2019","Apostichopus japonicus",NA,"Holothuroidea","echinoderm"
"85","Anastasiadi_et_al_2021","Austrofundulus limnaeus",NA,"Actinopterygii","fish"
"86","Anastasiadi_et_al_2021","Carassius gibelio",NA,"Actinopterygii","fish"
"87","Anastasiadi_et_al_2021","Channa argus",NA,"Actinopterygii","fish"
"88","Anastasiadi_et_al_2021","Channa maculata",NA,"Actinopterygii","fish"
"89","Anastasiadi_et_al_2021","Cyprinus carpio",NA,"Actinopterygii","fish"
"90","Anastasiadi_et_al_2021","Danio rerio",NA,"Actinopterygii","fish"
"91","Anastasiadi_et_al_2021","Dicentrarchus labrax",NA,"Actinopterygii","fish"
"92","Anastasiadi_et_al_2021","Gasterosteus aculeatus",NA,"Actinopterygii","fish"
"93","Anastasiadi_et_al_2021","Kryptolebias marmoratus",NA,"Actinopterygii","fish"
"94","Anastasiadi_et_al_2021","Oncorhynchus tshawytscha",NA,"Actinopterygii","fish"
"95","Anastasiadi_et_al_2021","Oryzias latipes",NA,"Actinopterygii","fish"
"96","Anastasiadi_et_al_2021","Oryzias melastigma",NA,"Actinopterygii","fish"
"97","Anastasiadi_et_al_2021","Salmo salar",NA,"Actinopterygii","fish"
"98","Anastasiadi_et_al_2021","Sparus aurata",NA,"Actinopterygii","fish"
"99","Moore_et_al_2016","Brachyrhaphis rhabdophora","Table S1","Actinopterygii","fish"
"100","Moore_et_al_2016","Brachyrhaphis roseni","Table S1","Actinopterygii","fish"
"101","Moore_et_al_2016","Gambusia affinis","Table S1","Actinopterygii","fish"
"102","Moore_et_al_2016","Gambusia geiseri","Table S1","Actinopterygii","fish"
"103","Moore_et_al_2016","Gambusia holbrooki","Table S1","Actinopterygii","fish"
"104","Moore_et_al_2016","Gambusia hubbsi","Table S1","Actinopterygii","fish"
"105","Moore_et_al_2016","Gambusia sexradiata","Table S1","Actinopterygii","fish"
"106","Moore_et_al_2016","Heterandria formosa","Table S1","Actinopterygii","fish"
"107","Moore_et_al_2016","Poecilia reticulata","Table S1","Actinopterygii","fish"
"108","Moore_et_al_2016","Poecilia latipinna","Table S1","Actinopterygii","fish"
"109","Moore_et_al_2016","Poecilia mexicana","Table S1","Actinopterygii","fish"
"110","Moore_et_al_2016","Poeciliopsis turneri","Table S1","Actinopterygii","fish"
"111","Moore_et_al_2016","Poeciliopsis monacha","Table S1","Actinopterygii","fish"
"112","Moore_et_al_2016","Poeciliopsis prolifica","Table S1","Actinopterygii","fish"
"113","Moore_et_al_2016","Poeciliopsis gracilis","Table S1","Actinopterygii","fish"
"114","Moore_et_al_2016","Poeciliopsis occidentalis","Table S1","Actinopterygii","fish"
"115","Moore_et_al_2016","Pseudopoecilia festae","Table S1","Actinopterygii","fish"
"116","Moore_et_al_2019","Acanthochromis polyacanthus","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Actinopterygii","fish"
"117","Moore_et_al_2019","Danio rerio","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Actinopterygii","fish"
"118","Moore_et_al_2019","Gambusia holbrooki","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Actinopterygii","fish"
"119","Moore_et_al_2019","Gasterosteus aculeatus","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Actinopterygii","fish"
"120","Moore_et_al_2019","Negaprion brevirostris","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Chondrichthyles","fish"
"121","Moore_et_al_2019","Oncorhynchus mykiss","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Actinopterygii","fish"
"122","Moore_et_al_2019","Oncorhynchus tshawytscha","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Actinopterygii","fish"
"123","Moore_et_al_2019","Pungitius pungitius","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Actinopterygii","fish"
"124","Moore_et_al_2019","Salmo salar","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Actinopterygii","fish"
"125","Moore_et_al_2019","Salvelinus fontinalis","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Actinopterygii","fish"
"126","Moore_et_al_2019","Stegastes partitus","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Actinopterygii","fish"
"127","Rowinski_and_Rogell_2017","Coregonus palaea",NA,"Actinopterygii","fish"
"128","Rowinski_and_Rogell_2017","Dicentrarchus labrax",NA,"Actinopterygii","fish"
"129","Rowinski_and_Rogell_2017","Gasterosteus aculeatus",NA,"Actinopterygii","fish"
"130","Rowinski_and_Rogell_2017","Oncorhynchus gorbuscha",NA,"Actinopterygii","fish"
"131","Rowinski_and_Rogell_2017","Oncorhynchus keta",NA,"Actinopterygii","fish"
"132","Rowinski_and_Rogell_2017","Oncorhynchus mykiss",NA,"Actinopterygii","fish"
"133","Rowinski_and_Rogell_2017","Oreochromis niloticus",NA,"Actinopterygii","fish"
"134","Rowinski_and_Rogell_2017","Poecilia reticulata",NA,"Actinopterygii","fish"
"135","Rowinski_and_Rogell_2017","Salmo trutta",NA,"Actinopterygii","fish"
"136","Rowinski_and_Rogell_2017","Salvelinus alpinus",NA,"Actinopterygii","fish"
"137","Rowinski_and_Rogell_2017","Scophthalmus maximus",NA,"Actinopterygii","fish"
"138","Rutkowska_et_al_2020","Danio rerio",NA,"Actinopterygii","fish"
"139","Rutkowska_et_al_2020","Gambusia holbrooki",NA,"Actinopterygii","fish"
"140","Rutkowska_et_al_2020","Gasterosteus aculeatus",NA,"Actinopterygii","fish"
"141","Rutkowska_et_al_2020","Oncorhynchus mykiss",NA,"Actinopterygii","fish"
"142","Rutkowska_et_al_2020","Oncorhynchus tshawytscha",NA,"Actinopterygii","fish"
"143","Rutkowska_et_al_2020","Pimephales promelas",NA,"Actinopterygii","fish"
"144","Rutkowska_et_al_2020","Poecilia reticulata",NA,"Actinopterygii","fish"
"145","Rutkowska_et_al_2020","Salmo salar",NA,"Actinopterygii","fish"
"146","Rutkowska_et_al_2020","Syngnathus typhle",NA,"Actinopterygii","fish"
"147","Urban_et_al_2020","Danio rerio","latin names not given but only domestic species in list","Actinopterygii","fish"
"148","Williams_et_al_2021","Danio rerio","latin names not given but only four species included","Actinopterygii","fish"
"149","Yin_et_al_2019","Acanthochromis polyacanthus",NA,"Actinopterygii","fish"
"150","Yin_et_al_2019","Cyprinodon variegatus",NA,"Actinopterygii","fish"
"151","Yin_et_al_2019","Danio rerio",NA,"Actinopterygii","fish"
"152","Yin_et_al_2019","Gadus morhua",NA,"Actinopterygii","fish"
"153","Yin_et_al_2019","Gambusia affinis",NA,"Actinopterygii","fish"
"154","Yin_et_al_2019","Gasterosteus aculeatus",NA,"Actinopterygii","fish"
"155","Yin_et_al_2019","Oncorhynchus nerka",NA,"Actinopterygii","fish"
"156","Yin_et_al_2019","Oryzias latipes",NA,"Actinopterygii","fish"
"157","Yin_et_al_2019","Poecilia reticulata",NA,"Actinopterygii","fish"
"158","Yin_et_al_2019","Salmo salar",NA,"Actinopterygii","fish"
"159","Snell_et_al_2012","Salmo salar",NA,"Actinopterygii","fish"
"160","Anastasiadi_et_al_2021","Physa acuta",NA,"Gastropoda","gastropod"
"161","Caixeta_et_al_2020","Ampullaceana balthica",NA,"Gastropoda","gastropod"
"162","Caixeta_et_al_2020","Bellamya aeruginosa",NA,"Gastropoda","gastropod"
"163","Caixeta_et_al_2020","Bellamya purificata",NA,"Gastropoda","gastropod"
"164","Caixeta_et_al_2020","Biomphalaria alexandrina",NA,"Gastropoda","gastropod"
"165","Caixeta_et_al_2020","Biomphalaria glabrata",NA,"Gastropoda","gastropod"
"166","Caixeta_et_al_2020","Biomphalaria pfeifferi",NA,"Gastropoda","gastropod"
"167","Caixeta_et_al_2020","Cipangopaludina cathayensis",NA,"Gastropoda","gastropod"
"168","Caixeta_et_al_2020","Cipangopaludina chinensis",NA,"Gastropoda","gastropod"
"169","Caixeta_et_al_2020","Cornu aspersum",NA,"Gastropoda","gastropod"
"170","Caixeta_et_al_2020","Eobania vermiculata",NA,"Gastropoda","gastropod"
"171","Caixeta_et_al_2020","Lissachatina fulica",NA,"Gastropoda","gastropod"
"172","Caixeta_et_al_2020","Littorina littorea",NA,"Gastropoda","gastropod"
"173","Caixeta_et_al_2020","Lymnaea stagnalis",NA,"Gastropoda","gastropod"
"174","Caixeta_et_al_2020","Peringia ulvae",NA,"Gastropoda","gastropod"
"175","Caixeta_et_al_2020","Physa acuta",NA,"Gastropoda","gastropod"
"176","Caixeta_et_al_2020","Potamopyrgus antipodarum",NA,"Gastropoda","gastropod"
"177","Caixeta_et_al_2020","Racesina luteola",NA,"Gastropoda","gastropod"
"178","Caixeta_et_al_2020","Theba pisana",NA,"Gastropoda","gastropod"
"179","Yin_et_al_2019","Physa acuta",NA,"Gastropoda","gastropod"
"180","Yin_et_al_2019","Physa pomilia",NA,"Gastropoda","gastropod"
"181","Anastasiadi_et_al_2021","Aedes albopictus",NA,"Insecta","hexapod"
"182","Anastasiadi_et_al_2021","Aphis citricidus",NA,"Insecta","hexapod"
"183","Anastasiadi_et_al_2021","Apis mellifera",NA,"Insecta","hexapod"
"184","Anastasiadi_et_al_2021","Copidosoma koehleri",NA,"Insecta","hexapod"
"185","Anastasiadi_et_al_2021","Drosophila buzzatii",NA,"Insecta","hexapod"
"186","Anastasiadi_et_al_2021","Drosophila koepferae",NA,"Insecta","hexapod"
"187","Anastasiadi_et_al_2021","Drosophila melanogaster",NA,"Insecta","hexapod"
"188","Anastasiadi_et_al_2021","Leptinotarsa decemlineata",NA,"Insecta","hexapod"
"189","Anastasiadi_et_al_2021","Manduca sexta",NA,"Insecta","hexapod"
"190","Anastasiadi_et_al_2021","Nasonia giraulti",NA,"Insecta","hexapod"
"191","Anastasiadi_et_al_2021","Nasonia vitripennis",NA,"Insecta","hexapod"
"192","Grueber_et_al_2017","Anopheles stephensi",NA,"Insecta","hexapod"
"193","Grueber_et_al_2017","Galleria mellonella",NA,"Insecta","hexapod"
"194","Grueber_et_al_2017","Plodia interpunctella",NA,"Insecta","hexapod"
"195","Grueber_et_al_2017","Trichoplusia ni",NA,"Insecta","hexapod"
"196","Moore_et_al_2019","Coenagrion puella","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Insecta","hexapod"
"197","Moore_et_al_2019","Gryllus integer","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Insecta","hexapod"
"198","Moore_et_al_2019","Gryllus texensis","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Insecta","hexapod"
"199","Moore_et_al_2019","Lestes sponsa","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Insecta","hexapod"
"200","Moore_et_al_2019","Melitaea cinxia","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Insecta","hexapod"
"201","Moore_et_al_2019","Nicrophorus vespilloides","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Insecta","hexapod"
"202","Moore_et_al_2019","Scathophaga stercoraria","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Insecta","hexapod"
"203","Moore_et_al_2019","Spodoptera littoralis","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Insecta","hexapod"
"204","Moore_et_al_2019","Temnothorax curvispinosus","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Insecta","hexapod"
"205","Rowinski_and_Rogell_2017","Drosophila ananassae",NA,"Insecta","hexapod"
"206","Rowinski_and_Rogell_2017","Drosophila birchii",NA,"Insecta","hexapod"
"207","Rowinski_and_Rogell_2017","Drosophila melanogaster",NA,"Insecta","hexapod"
"208","Rowinski_and_Rogell_2017","Dysdercus fasciatus",NA,"Insecta","hexapod"
"209","Rowinski_and_Rogell_2017","Lymantria dispar",NA,"Insecta","hexapod"
"210","Rowinski_and_Rogell_2017","Nauphoeta cinerea",NA,"Insecta","hexapod"
"211","Rowinski_and_Rogell_2017","Nicrophorus pustulatus",NA,"Insecta","hexapod"
"212","Rowinski_and_Rogell_2017","Teleogryllus oceanicus",NA,"Insecta","hexapod"
"213","Rutkowska_et_al_2020","Aedes aegypti",NA,"Insecta","hexapod"
"214","Rutkowska_et_al_2020","Callosobruchus maculatus",NA,"Insecta","hexapod"
"215","Rutkowska_et_al_2020","Cheilomenes sexmaculata",NA,"Insecta","hexapod"
"216","Rutkowska_et_al_2020","Coccinella septempunctata",NA,"Insecta","hexapod"
"217","Rutkowska_et_al_2020","Coccinella transversalis",NA,"Insecta","hexapod"
"218","Rutkowska_et_al_2020","Coccinella undecimpunctata",NA,"Insecta","hexapod"
"219","Rutkowska_et_al_2020","Coenonympha pamphilus",NA,"Insecta","hexapod"
"220","Rutkowska_et_al_2020","Drosophila melanogaster",NA,"Insecta","hexapod"
"221","Rutkowska_et_al_2020","Drosophila serrata",NA,"Insecta","hexapod"
"222","Rutkowska_et_al_2020","Drosophila simulans",NA,"Insecta","hexapod"
"223","Rutkowska_et_al_2020","Euoniticellus intermedius",NA,"Insecta","hexapod"
"224","Rutkowska_et_al_2020","Galleria mellonella",NA,"Insecta","hexapod"
"225","Rutkowska_et_al_2020","Gryllus bimaculatus",NA,"Insecta","hexapod"
"226","Rutkowska_et_al_2020","Harmonia axyridis",NA,"Insecta","hexapod"
"227","Rutkowska_et_al_2020","Locusta migratoria",NA,"Insecta","hexapod"
"228","Rutkowska_et_al_2020","Ophraella notulata",NA,"Insecta","hexapod"
"229","Rutkowska_et_al_2020","Pieris brassicae",NA,"Insecta","hexapod"
"230","Rutkowska_et_al_2020","Plodia interpunctella",NA,"Insecta","hexapod"
"231","Rutkowska_et_al_2020","Sepsis punctum",NA,"Insecta","hexapod"
"232","Rutkowska_et_al_2020","Stator limbatus",NA,"Insecta","hexapod"
"233","Rutkowska_et_al_2020","Teleogryllus oceanicus",NA,"Insecta","hexapod"
"234","Rutkowska_et_al_2020","Telostylinus angusticollis",NA,"Insecta","hexapod"
"235","Rutkowska_et_al_2020","Tenebrio molitor",NA,"Insecta","hexapod"
"236","Rutkowska_et_al_2020","Tribolium castaneum",NA,"Insecta","hexapod"
"237","Yin_et_al_2019","Acyrthosiphon pisum",NA,"Insecta","hexapod"
"238","Yin_et_al_2019","Aedes aegypti",NA,"Insecta","hexapod"
"239","Yin_et_al_2019","Allonemobius socius",NA,"Insecta","hexapod"
"240","Yin_et_al_2019","Anastrepha ludens",NA,"Insecta","hexapod"
"241","Yin_et_al_2019","Anopheles stephensi",NA,"Insecta","hexapod"
"242","Yin_et_al_2019","Aphis nerii",NA,"Insecta","hexapod"
"243","Yin_et_al_2019","Bicyclus anynana",NA,"Insecta","hexapod"
"244","Yin_et_al_2019","Cactoblastis cactorum",NA,"Insecta","hexapod"
"245","Yin_et_al_2019","Callosobruchus maculatus",NA,"Insecta","hexapod"
"246","Yin_et_al_2019","Caryedon serratus",NA,"Insecta","hexapod"
"247","Yin_et_al_2019","Cimex lectularius",NA,"Insecta","hexapod"
"248","Yin_et_al_2019","Drosophila melanogaster",NA,"Insecta","hexapod"
"249","Yin_et_al_2019","Drosophila subpulchrella",NA,"Insecta","hexapod"
"250","Yin_et_al_2019","Drosophila suzukii",NA,"Insecta","hexapod"
"251","Yin_et_al_2019","Folsomia candida",NA,"Entognatha","hexapod"
"252","Yin_et_al_2019","Myzus persicae",NA,"Insecta","hexapod"
"253","Yin_et_al_2019","Ophraella notulata",NA,"Insecta","hexapod"
"254","Yin_et_al_2019","Pieris rapae",NA,"Insecta","hexapod"
"255","Yin_et_al_2019","Saissetia coffeae",NA,"Insecta","hexapod"
"256","Yin_et_al_2019","Sclerodermus pupariae",NA,"Insecta","hexapod"
"257","Yin_et_al_2019","Sitobion avenae",NA,"Insecta","hexapod"
"258","Yin_et_al_2019","Stator limbatus",NA,"Insecta","hexapod"
"259","Yin_et_al_2019","Tachyporus hypnorum",NA,"Insecta","hexapod"
"260","Yin_et_al_2019","Telostylinus angusticollis",NA,"Insecta","hexapod"
"261","Yin_et_al_2019","Trichogramma telengai",NA,"Insecta","hexapod"
"262","Ainge_et_al_2011","Rattus norvegicus",NA,"Mammalia","mammal"
"263","Anastasiadi_et_al_2021","Bos indicus",NA,"Mammalia","mammal"
"264","Anastasiadi_et_al_2021","Bos primigenius",NA,"Mammalia","mammal"
"265","Anastasiadi_et_al_2021","Bos taurus",NA,"Mammalia","mammal"
"266","Anastasiadi_et_al_2021","Callithrix jacchus",NA,"Mammalia","mammal"
"267","Anastasiadi_et_al_2021","Capra hircus",NA,"Mammalia","mammal"
"268","Anastasiadi_et_al_2021","Cavia aperea",NA,"Mammalia","mammal"
"269","Anastasiadi_et_al_2021","Cavia porcellus",NA,"Mammalia","mammal"
"270","Anastasiadi_et_al_2021","Crocuta crocuta",NA,"Mammalia","mammal"
"271","Anastasiadi_et_al_2021","Equus ferus",NA,"Mammalia","mammal"
"272","Anastasiadi_et_al_2021","Microtus ochrogaster",NA,"Mammalia","mammal"
"273","Anastasiadi_et_al_2021","Mus musculus",NA,"Mammalia","mammal"
"274","Anastasiadi_et_al_2021","Ovis aries",NA,"Mammalia","mammal"
"275","Anastasiadi_et_al_2021","Phodopus sungorus",NA,"Mammalia","mammal"
"276","Anastasiadi_et_al_2021","Rattus norvegicus",NA,"Mammalia","mammal"
"277","Anastasiadi_et_al_2021","Sus scrofa",NA,"Mammalia","mammal"
"278","Anwer_et_al_2021","Mus musculus",NA,"Mammalia","mammal"
"279","Anwer_et_al_2021","Rattus norvegicus",NA,"Mammalia","mammal"
"280","Arnott_et_al_2012","Bos taurus","Does not specify but is implied tthat its domestic cows","Mammalia","mammal"
"281","Assis_et_al_2010","Rattus norvegicus",NA,"Mammalia","mammal"
"282","Badihian_et_al_2020","Cavia porcellus",NA,"Mammalia","mammal"
"283","Badihian_et_al_2020","Mus musculus",NA,"Mammalia","mammal"
"284","Badihian_et_al_2020","Rattus norvegicus",NA,"Mammalia","mammal"
"285","Berghanel_et_al_2017","Bos taurus","converted from Table S1","Mammalia","mammal"
"286","Berghanel_et_al_2017","Callithrix jacchus","converted from Table S1","Mammalia","mammal"
"287","Berghanel_et_al_2017","Capra hircus","converted from Table S1","Mammalia","mammal"
"288","Berghanel_et_al_2017","Cavia porcellus","converted from Table S1","Mammalia","mammal"
"289","Berghanel_et_al_2017","Cervus elaphus","converted from Table S1","Mammalia","mammal"
"290","Berghanel_et_al_2017","Chlorocebus pygerythrus","converted from Table S1","Mammalia","mammal"
"291","Berghanel_et_al_2017","Dicotyles tajacu","converted from Table S1","Mammalia","mammal"
